;Czech;Slovak;Polish;Russian;Ukrainian;Bulgarian;Croatian;Serbian;Slovenian;Church Slavonic;Latvian;English;German;Gothic;Dutch;Afrikaans;Norwegian Bokmaal;Norwegian Nynorsk;Swedish;Danish;Spanish;Catalan;Galician;French;Portuguese;Brasil;Italian;Romanian;Latin;Finnish;Estonian;Hungarian;Greek;Ancient Greek;Hebrew;Arabic;Hindi;Urdu;Persian;Japanese;Chinese;Korean;Indonesian;Vietnamese;Basque;Turkish
Latvian;0.857127746066218;0.813842549573698;0.543314868954468;0.943126515425142;0.928656131954689;0.898888630493396;0.750829589923683;0.577056119851903;0.876697482979851;0.428094423288576;1;0.566310504402867;0.854218183436825;0.395544448310503;0.853513752568342;0.69879115658662;0.711178221235893;0.750140580119833;0.627889523974619;0.616033079103901;0.544209321531516;0.652176777182154;0.0309235364147772;0.376441314431872;0.142216173438739;0.076664994920295;0.32805008372391;0.597147655206282;0.681136472730539;0.759187342109504;0.879092517466104;0.373932838641322;0.731141313683689;0.701247064254234;0.123865126326982;0.0251974483965463;0.177167759517108;0.264250887205239;0.261680849452592;-0.0298674430236342;0.38291078974673;-0.0372279534691229;0.358579984621407;0.217764625714501;0.742730309678488;0.733078642762605
English;0.582858557026768;0.529634164550322;0.386519512512269;0.496258810942827;0.564440159400279;0.652246843213098;0.336962349986792;0.234469448212696;0.548439615507036;0.353825625969551;0.566310504402867;1;0.583549635289312;0.32359076480121;0.547005122806356;0.40338101631444;0.77789831070811;0.722446295390153;0.930984110313853;0.874912876811853;0.517019500749855;0.581086199734673;0.00215954659053607;0.602261498685043;0.264455147772708;0.239319477293751;0.370213165993453;0.647448729578013;0.436177310117277;0.819532506964302;0.779851372265325;0.0687519172691339;0.806065193402153;0.500508231232469;0.13620740669268;-0.0278208514718218;0.105494180736479;0.287367601132398;0.26218813598212;-0.025950693474059;0.101746784241417;0.0834314935140324;0.257395917013347;0.0687861459252441;0.524576388237438;0.550459793751248
German;0.807645128690533;0.801357094402026;0.493929446979051;0.831726093199597;0.869607480617828;0.797947732932118;0.744423738070421;0.584992632046684;0.863632931107681;0.299467906536105;0.854218183436825;0.583549635289312;1;0.282961333610544;0.947509190231245;0.796968400329642;0.743103512023622;0.711177957336036;0.69433200854034;0.719679884344618;0.505442621815694;0.597054384703017;0.0399151166918854;0.424370869787095;0.175023155496499;0.0927555383506333;0.327410806601344;0.553903556735088;0.589305137340999;0.755736371090833;0.881591557905809;0.342090765385415;0.637885861286421;0.580886749502942;0.0771365635816176;-0.00266241354096364;0.217698942415497;0.127708713608654;0.141598140503347;-0.0392548464615199;0.42909479518829;-0.0287948223608869;0.367591598469949;0.209691881210189;0.720241127514441;0.743812974913508
Gothic;0.381242240531076;0.338638066772891;0.307740377846279;0.402428387839586;0.405934416854714;0.419455274054758;0.282515312699941;0.233035589832071;0.334729786390926;0.974661671691225;0.395544448310503;0.32359076480121;0.282961333610544;1;0.29053116777474;0.153550158897708;0.319895824742295;0.35598342237692;0.325927530871315;0.302890420434935;0.339782533658798;0.371306121412691;0.014063533896813;0.250968133624801;0.0898590907943946;0.0591019895474134;0.207048961486783;0.373296232245177;0.717363101432285;0.278270216399173;0.350044900252032;0.145196569940894;0.401078048679848;0.670243742309111;0.0473473201090012;-0.028951910965565;0.0652024676680895;0.166722805663417;0.078332497315145;-0.0356272422534243;0.149712200552427;-0.0272026384672121;0.18807598501173;0.181650890044432;0.484557075217857;0.313066284610314
Dutch;0.836866770818717;0.789067520896643;0.503438780862129;0.853887749982011;0.890181684745551;0.803223432092327;0.723369419703731;0.534352080951389;0.87177684910836;0.308710125874645;0.853513752568342;0.547005122806356;0.947509190231245;0.29053116777474;1;0.798300870519798;0.693336889205599;0.670494743329635;0.665075758127541;0.685627712819702;0.499715641699687;0.598391696890094;0.00655613437919844;0.406920881020532;0.133922556038962;0.0428955788173115;0.297613110172687;0.55312835391854;0.625021016670744;0.760624339801629;0.881757824790757;0.390474393701678;0.609881973474054;0.607197216562601;0.0660390816616623;-0.0189436181313051;0.228428049108833;0.0790016672515122;0.0471785280951018;-0.0341156937724397;0.433443265167303;-0.0350976625279383;0.356336020398486;0.22527489032037;0.73489325630183;0.739312642488153
Afrikaans;0.657778471001603;0.682637244542283;0.37883002968635;0.664123882909735;0.699621946448708;0.592891046905786;0.76766659592197;0.604449705691625;0.739764208713958;0.142390247558244;0.69879115658662;0.40338101631444;0.796968400329642;0.153550158897708;0.798300870519798;1;0.47966541503943;0.441462324318518;0.446058799851427;0.473150141055503;0.370866844793022;0.437575146055574;-0.0146781639438612;0.317273871233437;0.0796611243373444;-0.00853679948709496;0.202566016330716;0.391514034983266;0.535486721788959;0.601248044510772;0.709075398008058;0.250713752198204;0.39583483203754;0.454120045786976;-0.0129122201290088;-0.0458694726430084;0.180966685591169;0.14494107171887;0.186638156513138;-0.0334416419557559;0.450482745658529;-0.027520409461161;0.31236721381098;0.204525879948671;0.662304408908104;0.555443944479479
Norwegian Bokmaal;0.654751924533658;0.612404617899409;0.440298758272872;0.640511175517419;0.663210801082155;0.731684613696108;0.500871011920242;0.408489894567564;0.625370633513437;0.347985527544275;0.711178221235893;0.77789831070811;0.743103512023622;0.319895824742295;0.693336889205599;0.47966541503943;1;0.951311766725204;0.839023944042858;0.841458147294289;0.517421984213536;0.598293264073513;0.00564850747484663;0.473103592626307;0.188309568154846;0.154853335033403;0.343433219530115;0.563107341568021;0.47859352773512;0.743697250037375;0.816856836282824;0.138917300654646;0.743923065898796;0.5198613736962;0.112425312822072;-0.0195137381099078;0.0728079623479105;0.309329455456609;0.333566954332935;-0.0355652257131928;0.152459284886376;-0.0185402798173731;0.239031839469598;0.0895410540165401;0.526330541156134;0.64008989175627
Norwegian Nynorsk;0.730865772196852;0.658265875981436;0.579327076078637;0.688404365527144;0.717504495681198;0.782581865464456;0.544875585029527;0.468661848681312;0.646878752859722;0.395649270733898;0.750140580119833;0.722446295390153;0.711177957336036;0.35598342237692;0.670494743329635;0.441462324318518;0.951311766725204;1;0.793742905476921;0.797633439092193;0.621185880134799;0.701867066754807;0.0311305308843886;0.512024141073168;0.205646110268006;0.185761934092838;0.406006442630979;0.607953489887551;0.533016421112987;0.726961733259717;0.809062024510208;0.215507810178055;0.79970098857312;0.557792800032064;0.143066182679682;0.000650838997960036;0.0560446590055247;0.282896842353482;0.3809333985723;-0.0373613019736429;0.133957622141682;-0.00172751845843105;0.222875114612005;0.0930965723300037;0.550706400620481;0.658744079787852
Swedish;0.642899222411519;0.595795539334283;0.409644680057478;0.587958582720687;0.641818814886627;0.733654158963096;0.414134672613192;0.327586745805808;0.634737261485901;0.360350405437814;0.627889523974619;0.930984110313853;0.69433200854034;0.325927530871315;0.665075758127541;0.446058799851427;0.839023944042858;0.793742905476921;1;0.960149359079514;0.513925812647983;0.595585259779414;0.0166750852133585;0.574527923429192;0.258778551456386;0.20757599580324;0.369295954694503;0.652825411057523;0.426511388833101;0.799954480654663;0.839187737003816;0.118823685551335;0.823600071801016;0.481598968803595;0.156693956549879;-0.00829017385959379;0.0380825496567178;0.130928487215771;0.133083786276313;-0.0277472953747301;0.124179129397648;0.011421106839276;0.24697835685966;0.0734272386402803;0.520755183095761;0.611194605401163
Danish;0.663376648929594;0.630582824145398;0.431251208673435;0.588906611549901;0.643109919686695;0.717026662857886;0.438551747769558;0.354722943002035;0.620048435937551;0.317217958520393;0.616033079103901;0.874912876811853;0.719679884344618;0.302890420434935;0.685627712819702;0.473150141055503;0.841458147294289;0.797633439092193;0.960149359079514;1;0.54956888304271;0.625124581429577;0.0250690247187989;0.589885998403297;0.265439069570321;0.21103407964152;0.383534603231151;0.627872917057834;0.417056726420978;0.766338453590747;0.838409031031766;0.104131602672606;0.790885995336445;0.414720215967623;0.144647945512533;-0.0128388765994312;-0.00892326033849336;0.0573210272622034;0.136380007338053;-0.0306849341501243;0.249916847741616;0.0316893868376714;0.257260199339713;0.0962734708420055;0.506287921965392;0.666523558919466
